,index,ML-MSE,ML-Corr,ML-R2
0,"['INFLATION', 'OUTPUT_GAP']",6.086702828986883,0.5808138076843711,-4.785541371169677
1,"['INFLATION', 'DTB3']",0.018142385870478377,0.9962609525332182,0.9827552737542063
2,"['INFLATION', 'PCEND']",1.8941246193171923,-0.16876038041526595,-0.8004060088201566
3,"['INFLATION', 'PCEDG']",2.635462321832138,-0.1453418297856525,-1.505063369038611
4,"['INFLATION', 'T10Y3M']",12.463043082374133,0.7571320884364725,-10.846389316126244
5,"['INFLATION', 'UMCSENT']",7.3488074989141925,0.6060084504670236,-5.985198884895591
6,"['INFLATION', 'UNRATE']",12.03384726332828,0.6638184119263456,-10.438429499918795
7,"['INFLATION', 'TEDRATE']",8.955827237051016,0.4542243070061877,-7.5127055564878376
8,"['INFLATION', 'BAAFF']",8.71944855240669,0.7609845411630868,-7.288022555247894
9,"['INFLATION', 'WM2NS']",21.792397786878038,-0.321778325108088,-19.714140728627495
10,"['INFLATION', 'CFNAI']",13.673012549827753,0.277781454796726,-11.996491203549954
11,"['INFLATION', 'TCU']",5.295380529786763,0.5360323164132303,-4.033372581501093
12,"['INFLATION', 'AHETPI']",2.8673650013862098,-0.30456798705363175,-1.725491831597298
13,"['INFLATION', 'PCE']",2.422647324369376,-0.3158627247667781,-1.302778157024881
14,"['INFLATION', 'AWHNONAG']",6.642346089460977,0.2649451180669875,-5.31369218802491
15,"['INFLATION', 'PPIACO']",1.0201434379119443,0.24326772647584166,0.030331818327131055
16,"['INFLATION', 'DFF']",0.017424625453613018,0.9931208104083062,0.9834375203995636
17,"['INFLATION', 'MICH']",11.385425400172544,0.3879554386768217,-9.822090634582265
18,"['INFLATION', 'VIXCLS']",10.739464367687615,0.48233275600560993,-9.208090841491153
19,"['INFLATION', 'WILL5000INDFC']",3.828934799674596,-0.14550151082073398,-2.6394845145932444
20,"['INFLATION', 'USEPUINDXD']",9.962819273298798,0.45871557884009867,-8.469873049273033
21,"['INFLATION', 'DGS3']",0.3190464955689124,0.8951243201525663,0.6967394743423208
22,"['INFLATION', 'DEXCHUS']",9.512571892489897,0.46957380693906003,-8.041903272840843
23,"['INFLATION', 'DEXJPUS']",8.027351739422302,0.5954648826143131,-6.630169714904391
24,"['INFLATION', 'GDP']",2.463724321073437,-0.29881318978710836,-1.3418227219579628
25,"['INFLATION', 'PCEND_chg12']",11.439260540126245,0.30162163273819814,-9.873262087859324
26,"['INFLATION', 'PCEDG_chg12']",14.57608557941631,0.2504311834737219,-12.85488145532799
27,"['INFLATION', 'UNRATE_chg12']",17.45603457859255,0.2860479895300405,-15.592334646281
28,"['INFLATION', 'PCE_chg12']",13.889020546531526,0.2337578478879721,-12.201811429712725
29,"['INFLATION', 'WM2NS_chg12']",10.937051546879196,0.4141089532876747,-9.395901686170731
30,"['INFLATION', 'GDP_chg12']",12.843702955944787,0.3481067274426789,-11.208214676878052
31,"['INFLATION', 'USEPUINDXD_chg12']",10.607494546151916,0.4460714792816785,-9.082650700302635
32,"['INFLATION', 'WILL5000INDFC_chg12']",11.674768182617454,0.2715386418909277,-10.09711714488144
33,"['INFLATION', 'DTB3_chg']",10.417149184359982,0.4491061134418526,-8.90172335812766
34,"['INFLATION', 'UMCSENT_chg']",10.564030433601735,0.4419670439248114,-9.041337130643425
35,"['INFLATION', 'TEDRATE_chg']",10.5557145293778,0.4470603180143557,-9.03343268561333
36,"['INFLATION', 'BAAFF_chg']",10.493749449770043,0.4450492300965453,-8.974533550611831
37,"['INFLATION', 'TCU_chg']",10.553143320362315,0.44689070355020166,-9.030988696387805
38,"['INFLATION', 'AHETPI_chg']",15.393449611403378,0.2717179236340545,-13.631803469632137
39,"['INFLATION', 'AWHNONAG_chg']",10.555195761384253,0.4467694803139934,-9.032939585527284
40,"['INFLATION', 'PPIACO_chg']",10.73549665328108,0.41574984959163497,-9.204319443988604
41,"['INFLATION', 'DFF_chg']",10.182926585552925,0.4550955678983921,-8.679089762643477
42,"['INFLATION', 'MICH_chg']",10.559070874570132,0.4475663218659615,-9.036622963586765
43,"['INFLATION', 'VIXCLS_chg']",10.581758532411325,0.44517175838508544,-9.058188068166876
44,"['INFLATION', 'WILL5000INDFC_chg']",10.644813126493803,0.4448304482818449,-9.118122810005952
45,"['INFLATION', 'DGS3_chg']",10.811834471177283,0.43158417619998646,-9.276880174491167
46,"['INFLATION', 'DEXCHUS_chg']",10.522664916905889,0.4474259095478625,-9.002018321280186
47,"['INFLATION', 'DEXJPUS_chg']",10.868623812324648,0.42676037634742886,-9.330859659259971
48,"['OUTPUT_GAP', 'DTB3']",0.03206316945702593,0.992916803347184,0.9695232708748286
49,"['OUTPUT_GAP', 'PCEND']",5.899943474748067,-0.026454747756971257,-4.608022605959736
50,"['OUTPUT_GAP', 'PCEDG']",9.375772599314605,-0.08607193594678628,-7.911872615447281
51,"['OUTPUT_GAP', 'T10Y3M']",11.671949347731502,0.7667151414733681,-10.094437781963718
52,"['OUTPUT_GAP', 'UMCSENT']",5.819122107897961,0.42270879191059846,-4.5312001661719865
53,"['OUTPUT_GAP', 'UNRATE']",9.257462430805514,0.6268555182671438,-7.7994162669494305
54,"['OUTPUT_GAP', 'TEDRATE']",5.411431176593156,0.49976502143090834,-4.143681206238265
55,"['OUTPUT_GAP', 'BAAFF']",8.468571053809399,0.7509363971516508,-7.049558120888152
56,"['OUTPUT_GAP', 'WM2NS']",29.022404337547425,-0.23582721698555095,-26.586416768377564
57,"['OUTPUT_GAP', 'CFNAI']",6.497252684667268,0.3824484364460617,-5.175777799939432
58,"['OUTPUT_GAP', 'TCU']",4.491720290647264,0.5583014615623406,-3.269476315732587
59,"['OUTPUT_GAP', 'AHETPI']",6.7176874330743495,-0.06825452384120387,-5.385305748384522
60,"['OUTPUT_GAP', 'PCE']",6.5862028745323755,-0.11763964163731844,-5.260326860062289
61,"['OUTPUT_GAP', 'AWHNONAG']",4.017860622267518,0.34131431324402295,-2.8190625543635135
62,"['OUTPUT_GAP', 'PPIACO']",3.3538445006285618,0.10506219127600505,-2.1879010124248444
63,"['OUTPUT_GAP', 'DFF']",0.023165384863548646,0.9898808843980225,0.977980805655755
64,"['OUTPUT_GAP', 'MICH']",6.551766742524929,0.4735906564131811,-5.227594579221612
65,"['OUTPUT_GAP', 'VIXCLS']",6.244111099380428,0.4677248218136873,-4.93516130270126
66,"['OUTPUT_GAP', 'WILL5000INDFC']",63.882570513173114,-0.23729478459141481,-59.721751165588834
67,"['OUTPUT_GAP', 'USEPUINDXD']",5.400909019977584,0.5049997157553618,-4.133679671068285
68,"['OUTPUT_GAP', 'DGS3']",0.6369691666626892,0.8472614362154408,0.3945471679122775
69,"['OUTPUT_GAP', 'DEXCHUS']",7.822333708958786,0.4290652612990288,-6.435295686976889
70,"['OUTPUT_GAP', 'DEXJPUS']",4.764007908788115,0.5988355830842268,-3.5282915271651047
71,"['OUTPUT_GAP', 'GDP']",6.720568923537013,-0.12744812023872842,-5.3880446667695265
72,"['OUTPUT_GAP', 'PCEND_chg12']",5.889724380668757,0.4841953027422596,-4.598309138219836
73,"['OUTPUT_GAP', 'PCEDG_chg12']",6.018348700584069,0.461259172357422,-4.720569308482241
74,"['OUTPUT_GAP', 'UNRATE_chg12']",8.863694856267106,0.3629651107942717,-7.425131755757631
75,"['OUTPUT_GAP', 'PCE_chg12']",7.857157017120929,0.33409921864796516,-6.468395987043058
76,"['OUTPUT_GAP', 'WM2NS_chg12']",6.082452066840107,0.5927204206002356,-4.781500930729237
