,index,ML-MSE,ML-Corr,ML-R2,T-MSE,T-Corr,T-R2
48,"['INFLATION', 'DTB3', 'PCEDG']",0.10816569454078276,0.9888691618111041,0.8971861912287308,12.758031036747864,0.5327724680682141,-11.12678168322165
49,"['INFLATION', 'DTB3', 'T10Y3M']",0.07240067228830097,0.9936812289286713,0.9311816107023276,12.758031036747864,0.5327724680682141,-11.12678168322165
50,"['INFLATION', 'DTB3', 'UMCSENT']",0.018710731537623107,0.9963160593028478,0.9822150490278189,12.758031036747864,0.5327724680682141,-11.12678168322165
51,"['INFLATION', 'DTB3', 'UNRATE']",0.04689294354134477,0.9935848569607999,0.9554272530634568,12.758031036747864,0.5327724680682141,-11.12678168322165
52,"['INFLATION', 'DTB3', 'TEDRATE']",0.016459456572429025,0.9956152038453043,0.9843549340879175,12.758031036747864,0.5327724680682141,-11.12678168322165
53,"['INFLATION', 'DTB3', 'BAAFF']",0.06762109185339504,0.9938705711443446,0.9357247042490162,12.758031036747864,0.5327724680682141,-11.12678168322165
54,"['INFLATION', 'DTB3', 'WM2NS']",0.3674754380153362,0.9766862864411785,0.6507067275567484,12.758031036747864,0.5327724680682141,-11.12678168322165
55,"['INFLATION', 'DTB3', 'CFNAI']",0.02578211119670011,0.9932268724462158,0.9754935512451438,12.758031036747864,0.5327724680682141,-11.12678168322165
56,"['INFLATION', 'DTB3', 'TCU']",0.01811392350830075,0.9962401714622894,0.9827823278389097,12.758031036747864,0.5327724680682141,-11.12678168322165
57,"['INFLATION', 'DTB3', 'AHETPI']",0.13795253831799048,0.991382019042601,0.8688731584043096,12.758031036747864,0.5327724680682141,-11.12678168322165
58,"['INFLATION', 'DTB3', 'PCE']",0.1267559662584735,0.992749441864011,0.8795157398947551,12.758031036747864,0.5327724680682141,-11.12678168322165
59,"['INFLATION', 'DTB3', 'AWHNONAG']",0.020195519676214357,0.9964076108332967,0.9808037261088928,12.758031036747864,0.5327724680682141,-11.12678168322165
60,"['INFLATION', 'DTB3', 'PPIACO']",0.09806470295557335,0.993544572668464,0.9067874000191052,12.758031036747864,0.5327724680682141,-11.12678168322165
61,"['INFLATION', 'DTB3', 'DFF']",0.011383068296052285,0.9967830143456501,0.9891801498433558,12.758031036747864,0.5327724680682141,-11.12678168322165
62,"['INFLATION', 'DTB3', 'MICH']",0.01972735396430858,0.995303800986522,0.9812487276427109,12.758031036747864,0.5327724680682141,-11.12678168322165
63,"['INFLATION', 'DTB3', 'VIXCLS']",0.02964723607731014,0.9926034394743815,0.9718196672836972,12.758031036747864,0.5327724680682141,-11.12678168322165
64,"['INFLATION', 'DTB3', 'WILL5000INDFC']",0.599888593568014,0.9570149322021444,0.42979304663076123,12.758031036747864,0.5327724680682141,-11.12678168322165
65,"['INFLATION', 'DTB3', 'USEPUINDXD']",0.0179563871838645,0.9963724143784352,0.9829320694885508,12.758031036747864,0.5327724680682141,-11.12678168322165
66,"['INFLATION', 'DTB3', 'DGS3']",0.04297873187862498,0.9947064150289994,0.959147795062375,12.758031036747864,0.5327724680682141,-11.12678168322165
67,"['INFLATION', 'DTB3', 'DEXCHUS']",0.021648824722194166,0.9957847866714779,0.9794223285436291,12.758031036747864,0.5327724680682141,-11.12678168322165
68,"['INFLATION', 'DTB3', 'DEXJPUS']",0.01824933685613868,0.9962622553094448,0.982653614552236,12.758031036747864,0.5327724680682141,-11.12678168322165
69,"['INFLATION', 'DTB3', 'GDP']",0.13213743145287055,0.9925555898354029,0.8744005419962442,12.758031036747864,0.5327724680682141,-11.12678168322165
70,"['INFLATION', 'DTB3', 'PCEND_chg12']",0.017997520725317035,0.995683569287535,0.9828929711766236,12.758031036747864,0.5327724680682141,-11.12678168322165
71,"['INFLATION', 'DTB3', 'PCEDG_chg12']",0.02020441205047536,0.9959032051796123,0.9807952737167487,12.758031036747864,0.5327724680682141,-11.12678168322165
72,"['INFLATION', 'DTB3', 'UNRATE_chg12']",0.018278545814513613,0.9964129222807215,0.9826258508118605,12.758031036747864,0.5327724680682141,-11.12678168322165
73,"['INFLATION', 'DTB3', 'PCE_chg12']",0.018163977099492763,0.996243219161513,0.9827347508287034,12.758031036747864,0.5327724680682141,-11.12678168322165
74,"['INFLATION', 'DTB3', 'WM2NS_chg12']",0.05517414272793014,0.9806097266464672,0.9475557959144865,12.758031036747864,0.5327724680682141,-11.12678168322165
75,"['INFLATION', 'DTB3', 'GDP_chg12']",0.019099647385343824,0.9960944442442704,0.9818453761868555,12.758031036747864,0.5327724680682141,-11.12678168322165
76,"['INFLATION', 'DTB3', 'USEPUINDXD_chg12']",0.018157525951155936,0.9962599225099308,0.9827408827833336,12.758031036747864,0.5327724680682141,-11.12678168322165
77,"['INFLATION', 'DTB3', 'WILL5000INDFC_chg12']",0.0183071214630326,0.9962639945607894,0.9825986890460638,12.758031036747864,0.5327724680682141,-11.12678168322165
78,"['INFLATION', 'DTB3', 'DTB3_chg']",0.018278204756259672,0.9962174390927547,0.9826261749950338,12.758031036747864,0.5327724680682141,-11.12678168322165
79,"['INFLATION', 'DTB3', 'UMCSENT_chg']",0.019262593168151047,0.9954488531041064,0.9816904927312021,12.758031036747864,0.5327724680682141,-11.12678168322165
80,"['INFLATION', 'DTB3', 'TEDRATE_chg']",0.021890672001015726,0.9942551201277822,0.9791924475265268,12.758031036747864,0.5327724680682141,-11.12678168322165
81,"['INFLATION', 'DTB3', 'BAAFF_chg']",0.018327146892001867,0.9962070156255303,0.9825796544470318,12.758031036747864,0.5327724680682141,-11.12678168322165
82,"['INFLATION', 'DTB3', 'TCU_chg']",0.019483354050565862,0.9957455472769489,0.9814806547853993,12.758031036747864,0.5327724680682141,-11.12678168322165
83,"['INFLATION', 'DTB3', 'AHETPI_chg']",0.03813003374186636,0.9892412587015753,0.9637565864646652,12.758031036747864,0.5327724680682141,-11.12678168322165
84,"['INFLATION', 'DTB3', 'AWHNONAG_chg']",0.018175664524146058,0.9962398958739245,0.9827236416813122,12.758031036747864,0.5327724680682141,-11.12678168322165
85,"['INFLATION', 'DTB3', 'PPIACO_chg']",0.01909743568977245,0.9955510106749356,0.9818474784508543,12.758031036747864,0.5327724680682141,-11.12678168322165
86,"['INFLATION', 'DTB3', 'DFF_chg']",0.018108087608518942,0.9962186390929914,0.9827878749866142,12.758031036747864,0.5327724680682141,-11.12678168322165
87,"['INFLATION', 'DTB3', 'MICH_chg']",0.018138339964657826,0.9962623041223779,0.9827591194743222,12.758031036747864,0.5327724680682141,-11.12678168322165
88,"['INFLATION', 'DTB3', 'VIXCLS_chg']",0.01864674380623379,0.9960482870663162,0.982275870736649,12.758031036747864,0.5327724680682141,-11.12678168322165
89,"['INFLATION', 'DTB3', 'WILL5000INDFC_chg']",0.018563259759933042,0.9960358568891301,0.9823552241102695,12.758031036747864,0.5327724680682141,-11.12678168322165
90,"['INFLATION', 'DTB3', 'DGS3_chg']",0.02290619900116586,0.9943787419797593,0.9782271673677966,12.758031036747864,0.5327724680682141,-11.12678168322165
91,"['INFLATION', 'DTB3', 'DEXCHUS_chg']",0.018142454763095454,0.9962604301792191,0.9827552082702986,12.758031036747864,0.5327724680682141,-11.12678168322165
92,"['INFLATION', 'DTB3', 'DEXJPUS_chg']",0.018142711640743006,0.9963196333201867,0.9827549641025942,12.758031036747864,0.5327724680682141,-11.12678168322165
93,"['INFLATION', 'PCEND', 'PCEDG']",1.594936402848446,0.16537717901831117,-0.5160212026648485,12.758031036747864,0.5327724680682141,-11.12678168322165
94,"['INFLATION', 'PCEND', 'T10Y3M']",0.7101204503015419,0.6223944369382529,0.32501530645335464,12.758031036747864,0.5327724680682141,-11.12678168322165
95,"['INFLATION', 'PCEND', 'UMCSENT']",1.232742847141038,0.3503587888782916,-0.17174847245418912,12.758031036747864,0.5327724680682141,-11.12678168322165
96,"['INFLATION', 'PCEND', 'UNRATE']",1.43873256042286,0.5251163653508185,-0.3675461057067604,12.758031036747864,0.5327724680682141,-11.12678168322165
97,"['INFLATION', 'PCEND', 'TEDRATE']",3.289109088024863,-0.3474660243831746,-2.126368616590632,12.758031036747864,0.5327724680682141,-11.12678168322165
98,"['INFLATION', 'PCEND', 'BAAFF']",0.6129465138748095,0.7524792165008026,0.4173812137749463,12.758031036747864,0.5327724680682141,-11.12678168322165
99,"['INFLATION', 'PCEND', 'WM2NS']",214.85041535273507,-0.3149771437114142,-203.2199203017664,12.758031036747864,0.5327724680682141,-11.12678168322165
100,"['INFLATION', 'PCEND', 'CFNAI']",2.2520269322763067,-0.062275194569925335,-1.1405998209118384,12.758031036747864,0.5327724680682141,-11.12678168322165
101,"['INFLATION', 'PCEND', 'TCU']",2.3976460145936223,0.4331262363750608,-1.2790138767396342,12.758031036747864,0.5327724680682141,-11.12678168322165
102,"['INFLATION', 'PCEND', 'AHETPI']",9.47442917705345,-0.3809103137531266,-8.005647805083262,12.758031036747864,0.5327724680682141,-11.12678168322165
103,"['INFLATION', 'PCEND', 'PCE']",4.231236526385874,-0.4910092186360074,-3.021880920163863,12.758031036747864,0.5327724680682141,-11.12678168322165
104,"['INFLATION', 'PCEND', 'AWHNONAG']",9.532603839089361,0.2865352050747944,-8.060944067019975,12.758031036747864,0.5327724680682141,-11.12678168322165
105,"['INFLATION', 'PCEND', 'PPIACO']",1.8849917375363507,-0.16756606698175264,-0.7917250091285952,12.758031036747864,0.5327724680682141,-11.12678168322165
106,"['INFLATION', 'PCEND', 'DFF']",0.017936423773742678,0.9928835408315562,0.9829510451373404,12.758031036747864,0.5327724680682141,-11.12678168322165
107,"['INFLATION', 'PCEND', 'MICH']",2.605575381424651,-0.35475420228650256,-1.4766551922237787,12.758031036747864,0.5327724680682141,-11.12678168322165
108,"['INFLATION', 'PCEND', 'VIXCLS']",1.8240212493448895,-0.1665948244644228,-0.7337712545650878,12.758031036747864,0.5327724680682141,-11.12678168322165
